DoggieName,Frequency
MOXY,9
MYLES,9
NOELLE,9
OBI,9
OPIE,9
PANDORA,9
PETE,9
PEYTON,9
PIERRE,9
PJ,9
QQ,9
RALPHIE,9
RIGBY,9
ROGUE,9
ROONEY,9
SCAMP,9
SCOTCH,9
SILVER,9
SKYLER,9
SPOCK,9
TEAGAN,9
TERRY,9
THEA,9
TINKERBELL,9
TJ,9
TWINKLE,9
VEGAS,9
VINNY,9
WILBUR,9
WINTER,9
WOLFIE,9
ADDISON,8
ARES,8
ARGO,8
ARIES,8
ASH,8
ASIA,8
AURORA,8
AUTUMN,8
BAGEL,8
BANJO,8
BB,8
BERKELEY,8
BERT,8
BESSIE,8
BIGGIE,8
BLITZ,8
BOLT,8
BONITA,8
BRIDGET,8
BULLY,8
BUNNY,8
BUTTON,8
CHIBI,8
CHICHI,8
CORKY,8
CUPCAKE,8
DAISEY,8
DEWEY,8
DJ,8
DYSON,8
EDGAR,8
EDIE,8
ELLY,8
FANNY,8
FITZ,8
FLINT,8
FLYNN,8
GEM,8
GERTIE,8
GHOST,8
GINA,8
GLORIA,8
GUINESS,8
HOWARD,8
HOWIE,8
HURLEY,8
JACKY,8
JASMIN,8
JIGGS,8
JOSH,8
KASEY,8
KEEVA,8
KIMCHI,8
KIPPER,8
KYA,8
LADDIE,8
LICORICE,8
LULA,8
LYRA,8
MADDOX,8
MAGNUM,8
MAIA,8
MAXINE,8
MITZI,8
MORLEY,8
MOZART,8
NANA,8
NIKE,8
OLLY,8
PRADA,8
PUDGE,8
REMINGTON,8
ROBIN,8
ROCKO,8
ROSY,8
ROWAN,8
SABRE,8
SCARLET,8
SHAMUS,8
SHEILA,8
SHILO,8
SPARKLE,8
SULLIVAN,8
TAMMY,8
TAZZ,8
TITO,8
TOBIE,8
TODD,8
TUCO,8
TULA,8
VINNIE,8
WEBSTER,8
WENDEL,8
ZERO,8
AJ,7
AKIRA,7
ARYA,7
AUDREY,7
AUGGIE,7
BAILY,7
BAM BAM,7
BERTIE,7
BLUEBERRY,7
BOBBI,7
BOGIE,7
BRIAN,7
BUCKY,7
CALLY,7
CAPTAIN,7
CARLEY,7
CHAUNCEY,7
CHE,7
CHUCKY,7
CLOUD,7
CODA,7
CUBA,7
CURLY,7
DAWSON,7
DAX,7
DEVO,7
DEX,7
DIZZY,7
DOZER,7
EMMY,7
EVIE,7
FIONN,7
FRECKLES,7
FROSTY,7
GIDEON,7
GOLDY,7
GUSTAV,7
GWEN,7
HACHI,7
HALLE,7
HARMONY,7
HENLEY,7
HIRO,7
HOLLIE,7
INDIA,7
JAMESON,7
JAZZY,7
JD,7
JOE,7
JOHNNY,7
JONAH,7
JONI,7
JUDE,7
JULIET,7
K.C.,7
KAILEY,7
KEISHA,7
KELSO,7
KHLOE,7
KIARA,7
KNIGHT,7
KOLA,7
KRAMER,7
LACIE,7
LOULOU,7
MAKI,7
MALCOLM,7
MAXY,7
MCDUFF,7
MEMPHIS,7
MICK,7
MIKE,7
MILLER,7
MITCH,7
MIYA,7
MO,7
MULLIGAN,7
MYLA,7
NENA,7
NIKA,7
OSITO,7
OZ,7
PAIGE,7
PAL,7
PEDRO,7
PEKOE,7
PENNY LANE,7
PETER,7
PIXEL,7
QUEEN,7
REBA,7
REBEL,7
REXY,7
RICHARD,7
RITA,7
ROCKIE,7
RONNIE,7
ROSEY,7
ROSSI,7
ROY,7
RUDI,7
SAMMI,7
SHASTA,7
SHIVA,7
SKIP,7
SKIPPY,7
SONIC,7
SPUD,7
STUART,7
SUZI,7
SWEETIE,7
TAI,7
TARZAN,7
TESLA,7
THOMAS,7
TIKO,7
TIPPER,7
TIPPY,7
TONKA,7
TORI,7
TOSCA,7
TRISTAN,7
TYE,7
WIGGLES,7
WILLIS,7
ALISTAIR,6
ASHA,6
AUDI,6
AZA,6
BALTO,6
BELA,6
BINOO,6
BIRDIE,6
BISHOP,6
BLAKE,6
BONO,6
BOO BOO,6
BRADLEY,6
BRANDO,6
BRANDON,6
BREE,6
BRETON,6
BRINKLEY,6
BRITNEY,6
BULLET,6
BURGER,6
BUTTERCUP,6
CALYPSO,6
CAPONE,6
CARLI,6
CAYENNE,6
CESAR,6
CHACHI,6
CHAPLIN,6
CHARLEE,6
CHARLES,6
CHI CHI,6
CHILLI,6
CHIMO,6
CLARK,6
CONAN,6
CONNOR,6
CORI,6
COTTON,6
CUBBY,6
CUPID,6
CYRUS,6
DARLA,6
DASHA,6
DENNIS,6
DEUCE,6
DILLON,6
DOUGIE,6
DOUGLAS,6
DUBLIN,6
EDEN,6
EMMETT,6
ETHEL,6
FAITH,6
FISHER,6
FLO,6
FOZZIE,6
GABRIEL,6
GILBERT,6
GROVER,6
GRYPHON,6
HAGGIS,6
HALI,6
HAYDEN,6
HENRI,6
HOUSTON,6
HUBBLE,6
HUCK,6
HUEY,6
INDI,6
INDIGO,6
IRIS,6
JAGER,6
JENNIE,6
JEWELS,6
JOCK,6
JULIUS,6
KALLIE,6
KARA,6
KAYLE,6
KEEGAN,6
KEIRA,6
KILEY,6
KIP,6
KISMET,6
KOA,6
KUBA,6
LACY,6
LENA,6
LEONARD,6
LEWIS,6
LINK,6
LIZZY,6
LUKA,6
MAISEY,6
MARBLE,6
MARCO,6
MARLO,6
MARTHA,6
MAURICE,6
MEADOW,6
MEL,6
MELODY,6
MICAH,6
MILOU,6
MISCHIEF,6
MISIU,6
MITZY,6
MJ,6
MONKEY,6
MURDOCH,6
NANCY,6
NANOOK,6
NAYA,6
NELL,6
NELLA,6
NESSIE,6
NOEL,6
NOODLE,6
NUKA,6
NUTMEG,6
OPAL,6
ORION,6
PASHA,6
PATTY,6
PAX,6
PEGGY,6
PEPI,6
PEPPY,6
PHEOBE,6
PICASSO,6
POCO,6
POLAR,6
POPCORN,6
PRUDENCE,6
PUCK,6
QUEENIE,6
RAYNE,6
RODNEY,6
ROSE,6
RYLIE,6
SAPPHIRE,6
SARGE,6
SCOTTIE,6
SERENA,6
SHAKESPEARE,6
SHAKIRA,6
SHELLEY,6
SHOOTER,6
SIENNA,6
SIRIUS,6
SOOKIE,6
SOX,6
SPANKY,6
SPLASH,6
SPOTTY,6
STEWART,6
SUMO,6
TAO,6
TEDDIE,6
TEX,6
TILLEY,6
TINKER,6
TRAPPER,6
TUNDRA,6
TYCO,6
UMA,6
VANILLA,6
VICTORIA,6
VINCENT,6
WENDY,6
WILEY,6
WINDSOR,6
ZOIE,6
ZUKO,6
ADAM,5
ADELAIDE,5
AKI,5
ALASKA,5
ALPHA,5
AMELIA,5
AMIGO,5
ANAKIN,5
ANYA,5
ARIA,5
ARLO,5
ARNOLD,5
ASHER,5
ASTA,5
ASTRID,5
AURA,5
AZUL,5
BABA,5
BABE,5
BAILEE,5
BALI,5
BARBIE,5
BATMAN,5
BEAMER,5
BEANIE,5
BEBA,5
BECKS,5
BELL,5
BELLO,5
BENTLY,5
BIGGS,5
BIJOUX,5
BING,5
BISOU,5
BJ,5
BLU,5
BOBBIE,5
BOURBON,5
BOW,5
BRONCO,5
BRYN,5
BUBBLE,5
BUCKLEY,5
BUCKWHEAT,5
BUD,5
BURT,5
BUTCH,5
BUTTER,5
BYRON,5
CAIRO,5
CAJUN,5
CAPER,5
CAPPUCCINO,5
CARGO,5
CARLOS,5
CARMEN,5
CECIL,5
CEDRIC,5
CHANDLER,5
CHAOS,5
CHARM,5
CHAZZ,5
CHILLY,5
CHINA,5
CHINOOK,5
CHIQUITO,5
CHUBBY,5
CJ,5
CLAIRE,5
CLOONEY,5
CORONA,5
DAMIEN,5
DANA,5
DANNY,5
DAVE,5
DECKER,5
DHARMA,5
DICKENS,5
DOOBIE,5
DOOLEY,5
EDWARD,5
ELOISE,5
ERIN,5
FENDI,5
FIFA,5
FINDLEY,5
FOSTER,5
FOX,5
FRANKY,5
FREYJA,5
GAIA,5
GAMBIT,5
GERTRUDE,5
GIA,5
GILDA,5
GLADYS,5
GORDON,5
GRIZZLY,5
GUNTHER,5
HANA,5
HARRIET,5
HARRISON,5
HEMI,5
HENNESSY,5
HERBIE,5
HERMAN,5
HERMES,5
HUTCH,5
HUXLEY,5
INNIS,5
ISAAC,5
ISABEL,5
ISLAY,5
JAXON,5
JAXX,5
JAYDA,5
JAYJAY,5
JEM,5
JETTA,5
JILL,5
JIMI,5
JOHN,5
JOSEPHINE,5
JUDY,5
JULIO,5
JUSTICE,5
KASPER,5
KATY,5
KC,5
KENYA,5
KIKA,5
KIM,5
KOOPER,5
KYLA,5
LANCE,5
LEA,5
LEON,5
LEROY,5
LIBERTY,5
LILLI,5
LISA,5
LIZA,5
LOLITA,5
LOU LOU,5
LOUISE,5
LU LU,5
LUCI,5
LUIGI,5
LUPA,5
MACHO,5
MACKIE,5
MAGGI,5
MAGOO,5
MALIBU,5
MARCEL,5
MARGOT,5
MARIGOLD,5
MARLA,5
MARLOW,5
MEATBALL,5
MELO,5
MERCY,5
MICHAEL,5
MIKKA,5
MINA,5
MING,5
MISO,5
MISS MOLLY,5
MITZIE,5
MONTE,5
MOUSE,5
MUI MUI,5
MUMFORD,5
MUSHU,5
NANO,5
NANUK,5
NASH,5
NED,5
NIXON,5
OCEAN,5
PATRICK,5
PAXTON,5
PEEWEE,5
PEPPI,5
PETUNIA,5
PHIL,5
PHINEAS,5
PILOT,5
PIPI,5
PIRATE,5
POGO,5
PORKCHOP,5
PORSCHE,5
PRESLEY,5
PRISCILLA,5
PUDDING,5
PUDDLES,5
PUFF,5
PUFFY,5
PUMPKIN,5
RAJA,5
RALEIGH,5
REUBEN,5
RIGGINS,5
ROMAN,5
RONNY,5
ROOKIE,5
ROSA,5
ROVER,5
ROYCE,5
RUMOUR,5
RYAN,5
RYLEE,5
SABA,5
SETH,5
SHANE,5
SHANTI,5
SHAYNA,5
SHEAMUS,5
SHELDON,5
SHEP,5
SHIRO,5
SHOGUN,5
SHORTY,5
SIMCOE,5
SIRUS,5
SKITTLES,5
SLATER,5
SOCRATES,5
SOLEIL,5
SOLO,5
SOLOMON,5
SPICE,5
SPRITE,5
STARBUCK,5
STOLI,5
SURI,5
TALLULAH,5
TASHI,5
TEDDY BEAR,5
TEEMO,5
THELMA,5
TIAMO,5
TIBERIUS,5
TIM,5
TINKA,5
TOBEY,5
TOM,5
TOPPER,5
TRAVIS,5
TRIP,5
TRIX,5
TRUFFLE,5
TUNA,5
VICKY,5
VIXEN,5
WALKER,5
WAYNE,5
WELLINGTON,5
WHISPER,5
WOLF,5
ZACH,5
ZIP,5
ZORRA,5
ABBI,4
ADDIE,4
AERO,4
ALEXIS,4
ALY,4
ANDI,4
ARGOS,4
ARNIE,4
ATOS,4
BABY GIRL,4
BACI,4
BADGER,4
BALA,4
BANE,4
BARLOW,4
BARRY,4
BAYLEE,4
BEA,4
BEANZ,4
BECKETT,4
BEE,4
BENNIE,4
BERRY,4
BIBI,4
BIGGLES,4
BILL,4
BINKY,4
BINO,4
BLISS,4
BO BO,4
BODIE,4
BOND,4
BOOBOO,4
BOOGIE,4
BOONE,4
BREEZY,4
BROGAN,4
BRONTE,4
BROOK,4
BROOKE,4
BROOKLIN,4
BRUIN,4
BURTON,4
BUTTERS,4
BUTTERSCOTCH,4
CANELA,4
CAPRI,4
CARLIE,4
CASSIUS,4
CATO,4
CECE,4
CELESTE,4
CHAI,4
CHAMPION,4
CHARCOAL,4
CHECKERS,4
CHESSIE,4
CHESTNUT,4
CHICCO,4
CHIPPER,4
CHITO,4
CHRISSY,4
CHRISTIE,4
CHUNKY,4
CHYNA,4
CICCIO,4
CISCO,4
CLINT,4
CLINTON,4
CLIO,4
COACH,4
COCA,4
COLT,4
CONNIE,4
COZMO,4
CRIXUS,4
CUZCO,4
D.J.,4
DAIZY,4
DALTON,4
DANCER,4
DANDY,4
DANNY BOY,4
DANY,4
DAVEY,4
DAZY,4
DEISEL,4
DENNY,4
DENVER,4
DIABLO,4
DIMITRI,4
DODO,4
DOMI,4
DOMO,4
DORIAN,4
DOROTHY,4
DOTTIE,4
DRAGON,4
DUG,4
DUTCHESS,4
EARL,4
ELIOT,4
ELIZABETH,4
ELLE,4
ELLIOTT,4
EMBER,4
EMI,4
ENVY,4
ESTHER,4
FARRAH,4
FAWN,4
FERRIS,4
FIGO,4
FRANCES,4
FRANCESCO,4
FRANNY,4
FRISKY,4
FUZZY,4
FYNN,4
GAUCHO,4
GAVIN,4
GEORGES,4
GIGGS,4
GILMOUR,4
GOBI,4
GOLDEN,4
GRADY,4
GRYFFIN,4
GUIDO,4
GUNNAR,4
HACHIKO,4
HARRIS,4
HATTIE,4
HELO,4
HOLDEN,4
HOOVER,4
HULK,4
IGOR,4
ISLA,4
JAMES,4
JANE,4
JAY,4
JAZZIE,4
JEDI,4
JESS,4
JESSICA,4
JETHRO,4
JILLY,4
JO JO,4
JOHNY,4
JOKER,4
JORDI,4
JULES,4
JUNIPER,4
JYNX,4
KAIYA,4
KALA,4
KALLY,4
KASH,4
KASHA,4
KAYLEIGH,4
KAYLEY,4
KEATON,4
KEELA,4
KEIKO,4
KELLI,4
KENNY,4
KERRY,4
KIBA,4
KILTY,4
KIVA,4
KNOX,4
KODIAK,4
KORRA,4
KOSMO,4
KOUKLA,4
KOVU,4
KUSH,4
KYRA,4
LAKER,4
LANA,4
LENNON,4
LEONIDAS,4
LEVON,4
LOCO,4
LORD,4
LOVELY,4
LUC,4
LUCCA,4
LUDWIG,4
LUX,4
MADELINE,4
MAESTRO,4
MAJA,4
MALA,4
MARJORIE,4
MARK,4
MARSHMALLOW,4
MARTIN,4
MARY,4
MCGEE,4
MEESHKA,4
MEGAN,4
MELVIN,4
MERLOT,4
MICO,4
MIKKI,4
MIKKO,4
MILDRED,4
MINKY,4
MIO,4
MIRA,4
MITSY,4
MIU MIU,4
MOJITO,4
